E ; deltaE ; I ; deltaI ; I ENDF ; deltaI ENDF
386.3214 eV ; 17.86342 eV ; 82.13586 % ; 2.379259 % ; 0.8213586 ; 0.02379259
681.6322 eV ; 29.13486 eV ; 43.72038 % ; 2.334112 % ; 0.4372038 ; 0.02334112
1777.065 eV ; 59.19786 eV ; 238.4163 % ; 5.462804 % ; 2.384163 ; 0.05462804
7494.923 eV ; 341.8179 eV ; 63.79055 % ; 2.250778 % ; 0.6379055 ; 0.02250778
9623.972 eV ; 280.3754 eV ; 27.40266 % ; 0.6279534 % ; 0.2740266 ; 0.006279534
11785.08 eV ; 364.8254 eV ; 2.852485 % ; 0.06980291 % ; 0.02852485 ; 0.0006980291
54323.76 eV ; 4096.836 eV ; 1.864958 % ; 0.130538 % ; 0.01864958 ; 0.001305380
62998.20 eV ; 2.039608 eV ; 60.096 % ; 1.908618 % ; 0.6009600 ; 0.01908618
65141.62 eV ; 2780.909 eV ; 1.029126 % ; 0.04122969 % ; 0.01029126 ; 0.0004122969
73926.10 eV ; 2.022375 eV ; 14.6304 % ; 0.4777913 % ; 0.1463040 ; 0.004777913
75979.35 eV ; 3213.143 eV ; 0.1370371 % ; 0.005446111 % ; 0.001370371 ; 0.00005446111
76592.20 eV ; 2.039608 eV ; 3.6288 % ; 0.1261432 % ; 0.03628800 ; 0.001261432
77302.40 eV ; 2.000000 eV ; 0.62784 % ; 0.01952123 % ; 0.006278400 ; 0.0001952123
110639.1 eV ; 15.00833 eV ; 0.6035328 % ; 0.02253578 % ; 0.006035328 ; 0.0002253578
177011.2 eV ; 15.00533 eV ; 0.1024059 % ; 0.003804329 % ; 0.001024059 ; 0.00003804329
187939.1 eV ; 15.00300 eV ; 0.02381683 % ; 9.021915E-4 % ; 0.0002381683 ; 0.000009021915
187985.1 eV ; 30.00417 eV ; 0.00374976 % ; 5.172142E-4 % ; 0.00003749760 ; 0.000005172142
190605.2 eV ; 15.00533 eV ; 0.005931494 % ; 2.195408E-4 % ; 0.00005931494 ; 0.000002195408
191315.4 eV ; 15.00000 eV ; 0.001087657 % ; 4.029766E-5 % ; 0.00001087657 ; 4.029766E-7
254357.2 eV ; 30.00267 eV ; 0.001891008 % ; 9.906297E-5 % ; 0.00001891008 ; 9.906297E-7
265285.1 eV ; 30.00150 eV ; 4.77792E-4 % ; 2.464654E-5 % ; 0.000004777920 ; 2.464654E-7
267951.2 eV ; 30.00267 eV ; 1.181376E-4 % ; 6.101312E-6 % ; 0.000001181376 ; 6.101312E-8
268661.4 eV ; 30.00000 eV ; 1.967616E-5 % ; 1.04042E-6 % ; 1.967616E-7 ; 1.040420E-8
