E ; deltaE ; I ; deltaI ; I ENDF ; deltaI ENDF
385.5529 eV ; 17.39048 eV ; 4.367911 % ; 0.1664357 % ; 0.04367911 ; 0.001664357
414.7328 eV ; 20.94821 eV ; 45.14459 % ; 2.019014 % ; 0.4514459 ; 0.02019014
740.4091 eV ; 32.63176 eV ; 1.480006 % ; 0.09521216 % ; 0.01480006 ; 0.0009521216
811.4080 eV ; 34.92003 eV ; 18.39242 % ; 1.24681 % ; 0.1839242 ; 0.01246810
1777.381 eV ; 54.91848 eV ; 11.51259 % ; 0.3444878 % ; 0.1151259 ; 0.003444878
1834.707 eV ; 60.75646 eV ; 137.873 % ; 4.41431 % ; 1.378730 ; 0.04414310
7449.942 eV ; 392.5108 eV ; 3.084489 % ; 0.1628615 % ; 0.03084489 ; 0.001628615
7729.854 eV ; 357.2696 eV ; 38.08953 % ; 1.767461 % ; 0.3808953 ; 0.01767461
9577.995 eV ; 320.1332 eV ; 1.298662 % ; 0.04438148 % ; 0.01298662 ; 0.0004438148
9936.814 eV ; 289.8368 eV ; 16.69751 % ; 0.4993381 % ; 0.1669751 ; 0.004993381
11734.65 eV ; 417.4734 eV ; 0.132564 % ; 0.004849051 % ; 0.001325640 ; 0.00004849051
12174.01 eV ; 377.4469 eV ; 1.765521 % ; 0.05636003 % ; 0.01765521 ; 0.0005636003
50877.69 eV ; 50.00640 eV ; 14.03546 % ; 2.807092 % ; 0.1403546 ; 0.02807092
54250.49 eV ; 4278.900 eV ; 0.167514 % ; 0.01320315 % ; 0.001675140 ; 0.0001320315
55771.42 eV ; 4111.196 eV ; 0.7604939 % ; 0.05601018 % ; 0.007604939 ; 0.0005601018
65102.64 eV ; 2949.442 eV ; 0.09039256 % ; 0.004125248 % ; 0.0009039256 ; 0.00004125248
66963.72 eV ; 2838.317 eV ; 0.447579 % ; 0.01910923 % ; 0.004475790 ; 0.0001910923
75967.16 eV ; 3397.023 eV ; 0.01174799 % ; 5.306147E-4 % ; 0.0001174799 ; 0.000005306147
78169.03 eV ; 3266.444 eV ; 0.0634584 % ; 0.002678547 % ; 0.0006345840 ; 0.00002678547
81867.70 eV ; 70.00458 eV ; 20.12427 % ; 4.024855 % ; 0.2012427 ; 0.04024855
119140.7 eV ; 50.01000 eV ; 32.51209 % ; 6.502418 % ; 0.3251209 ; 0.06502418
130418.4 eV ; 50.01210 eV ; 8.475519 % ; 1.695104 % ; 0.08475519 ; 0.01695104
133179.7 eV ; 50.01000 eV ; 2.105319 % ; 0.4210638 % ; 0.02105319 ; 0.004210638
133922.6 eV ; 50.00000 eV ; 0.3512255 % ; 0.0702451 % ; 0.003512255 ; 0.0007024510
150130.7 eV ; 70.00715 eV ; 50.44629 % ; 10.08926 % ; 0.5044629 ; 0.1008926
161408.4 eV ; 70.00864 eV ; 15.59495 % ; 3.118991 % ; 0.1559495 ; 0.03118991
164169.7 eV ; 70.00715 eV ; 4.038415 % ; 0.8076831 % ; 0.04038415 ; 0.008076831
164912.6 eV ; 70.00000 eV ; 0.6916024 % ; 0.1383205 % ; 0.006916024 ; 0.001383205
