E ; deltaE ; I ; deltaI ; I ENDF ; deltaI ENDF
127.5252 eV ; 5.923284 eV ; 87.11364 % ; 3.918231 % ; 0.8711364 ; 0.03918231
166.3855 eV ; 7.373298 eV ; 17.66405 % ; 0.8892464 % ; 0.1766405 ; 0.008892464
348.3363 eV ; 15.92978 eV ; 212.3131 % ; 10.1654 % ; 2.123131 ; 0.1016540
2614.033 eV ; 131.0434 eV ; 80.75859 % ; 3.634062 % ; 0.8075859 ; 0.03634062
3055.932 eV ; 109.7752 eV ; 18.98725 % ; 0.627581 % ; 0.1898725 ; 0.006275810
3515.861 eV ; 148.9530 eV ; 1.174189 % ; 0.04618667 % ; 0.01174189 ; 0.0004618667
19284.68 eV ; 1431.218 eV ; 10.38623 % ; 0.6788063 % ; 0.1038623 ; 0.006788063
22428.76 eV ; 999.9978 eV ; 4.317063 % ; 0.169414 % ; 0.04317063 ; 0.001694140
25576.53 eV ; 1176.843 eV ; 0.4321166 % ; 0.01752398 % ; 0.004321166 ; 0.0001752398
144568.8 eV ; 30.00150 eV ; 8.359582 % ; 1.671916 % ; 0.08359582 ; 0.01671916
167262.0 eV ; 30.00150 eV ; 1.053947 % ; 0.2107895 % ; 0.01053947 ; 0.002107895
170509.8 eV ; 30.00150 eV ; 0.2029899 % ; 0.04059797 % ; 0.002029899 ; 0.0004059797
171172.4 eV ; 30.00150 eV ; 0.0359982 % ; 0.00719964 % ; 0.0003599820 ; 0.00007199640
171277.8 eV ; 30.00000 eV ; 0.002019899 % ; 4.039798E-4 % ; 0.00002019899 ; 0.000004039798
218638.8 eV ; 40.00113 eV ; 5.019749 % ; 1.00395 % ; 0.05019749 ; 0.01003950
241332.0 eV ; 40.00113 eV ; 0.7839608 % ; 0.1567922 % ; 0.007839608 ; 0.001567922
244579.8 eV ; 40.00113 eV ; 0.1523924 % ; 0.03047848 % ; 0.001523924 ; 0.0003047848
245242.4 eV ; 40.00113 eV ; 0.02629868 % ; 0.005259737 % ; 0.0002629868 ; 0.00005259737
245347.8 eV ; 40.00000 eV ; 0.001066947 % ; 2.133893E-4 % ; 0.00001066947 ; 0.000002133893
