E ; deltaE ; I ; deltaI ; I ENDF ; deltaI ENDF
351.2005 eV ; 17.78519 eV ; 91.92306 % ; 2.746714 % ; 0.9192306 ; 0.02746714
672.3232 eV ; 35.70787 eV ; 27.26339 % ; 1.37155 % ; 0.2726339 ; 0.01371550
1664.289 eV ; 55.04556 eV ; 254.4048 % ; 5.908627 % ; 2.544048 ; 0.05908627
6287.002 eV ; 7.017835 eV ; 25.63708 % ; 3.237986 % ; 0.2563708 ; 0.03237986
7084.904 eV ; 365.3999 eV ; 72.06357 % ; 2.998631 % ; 0.7206357 ; 0.02998631
9039.002 eV ; 80.00156 eV ; 0.237 % ; 0.237 % ; 0.002370000 ; 0.002370000
9052.737 eV ; 300.7884 eV ; 29.81979 % ; 0.8170661 % ; 0.2981979 ; 0.008170661
11049.61 eV ; 396.2028 eV ; 3.020454 % ; 0.08969198 % ; 0.03020454 ; 0.0008969198
20406.00 eV ; 9.013878 eV ; 17.17492 % ; 1.460425 % ; 0.1717492 ; 0.01460425
36171.50 eV ; 30.00150 eV ; 0.305888 % ; 0.04837385 % ; 0.003058880 ; 0.0004837385
46416.30 eV ; 30.00817 eV ; 0.0726484 % ; 0.01173647 % ; 0.0007264840 ; 0.0001173647
48899.90 eV ; 30.00267 eV ; 0.0177276 % ; 0.002981886 % ; 0.0001772760 ; 0.00002981886
49546.70 eV ; 30.00000 eV ; 0.00298936 % ; 4.755501E-4 % ; 0.00002989360 ; 0.000004755501
51401.72 eV ; 3946.063 eV ; 3.497403 % ; 0.2442144 % ; 0.03497403 ; 0.002442144
53288.99 eV ; 7.017835 eV ; 5.927765 % ; 0.5700233 % ; 0.05927765 ; 0.005700233
61542.11 eV ; 2720.901 eV ; 1.91649 % ; 0.07676951 % ; 0.01916490 ; 0.0007676951
62089.00 eV ; 200.0006 eV ; 0.02844 % ; 0.02690035 % ; 0.0002844000 ; 0.0002690035
64773.00 eV ; 15.00833 eV ; 0.118816 % ; 0.04210959 % ; 0.001188160 ; 0.0004210959
68979.50 eV ; 7.006426 eV ; 19.03505 % ; 2.404924 % ; 0.1903505 ; 0.02404924
71696.95 eV ; 3136.104 eV ; 0.2529939 % ; 0.01004834 % ; 0.002529939 ; 0.0001004834
71731.50 eV ; 80.00056 eV ; 0.22515 % ; 0.1515368 % ; 0.002251500 ; 0.001515368
79224.30 eV ; 7.034913 eV ; 4.790086 % ; 0.6054966 % ; 0.04790086 ; 0.006054966
81707.90 eV ; 7.011420 eV ; 1.161379 % ; 0.1471928 % ; 0.01161379 ; 0.001471928
81976.30 eV ; 80.00306 eV ; 0.053325 % ; 0.04216071 % ; 0.0005332500 ; 0.0004216071
82354.70 eV ; 7.000000 eV ; 0.1821582 % ; 0.0229628 % ; 0.001821582 ; 0.0002296280
83098.49 eV ; 9.004998 eV ; 3.040805 % ; 0.2590282 % ; 0.03040805 ; 0.002590282
84459.90 eV ; 80.00100 eV ; 0.0136275 % ; 0.009675527 % ; 0.0001362750 ; 0.00009675527
85106.70 eV ; 80.00000 eV ; 0.002133 % ; 0.001396011 % ; 0.00002133000 ; 0.00001396011
93343.30 eV ; 9.027182 eV ; 0.7070184 % ; 0.06053761 % ; 0.007070184 ; 0.0006053761
95826.90 eV ; 9.008884 eV ; 0.1736262 % ; 0.01481546 % ; 0.001736262 ; 0.0001481546
