E ; deltaE ; I ; deltaI ; I ENDF ; deltaI ENDF
370.7070 eV ; 19.44692 eV ; 124.6531 % ; 5.576362 % ; 1.246531 ; 0.05576362
585.1533 eV ; 30.65425 eV ; 71.97116 % ; 6.233826 % ; 0.7197116 ; 0.06233826
1728.061 eV ; 66.01779 eV ; 331.4861 % ; 12.36695 % ; 3.314861 ; 0.1236695
5920.099 eV ; 1980.000 eV ; 0.1787994 % ; 0.03575987 % ; 0.001787994 ; 0.0003575987
7303.953 eV ; 385.1657 eV ; 78.47108 % ; 4.197307 % ; 0.7847108 ; 0.04197307
9345.570 eV ; 318.5791 eV ; 34.78952 % ; 1.223601 % ; 0.3478952 ; 0.01223601
11424.04 eV ; 413.3511 eV ; 3.759813 % ; 0.1411271 % ; 0.03759813 ; 0.001411271
14220.10 eV ; 2810.000 eV ; 0.1067437 % ; 0.007120688 % ; 0.001067437 ; 0.00007120688
16504.00 eV ; 1980.000 eV ; 0.1045629 % ; 0.02091258 % ; 0.001045629 ; 0.0002091258
17010.10 eV ; 90.00089 eV ; 68.70427 % ; 5.558544 % ; 0.6870427 ; 0.05558544
20505.20 eV ; 20.01225 eV ; 65.169 % ; 4.76052 % ; 0.6516900 ; 0.04760520
24804.00 eV ; 2810.000 eV ; 0.02477475 % ; 0.001727115 % ; 0.0002477475 ; 0.00001727115
27594.00 eV ; 90.00450 eV ; 15.96067 % ; 1.328649 % ; 0.1596067 ; 0.01328649
51105.20 eV ; 200.0012 eV ; 13.35765 % ; 0.9537742 % ; 0.1335765 ; 0.009537742
51395.20 eV ; 20.01225 eV ; 1.355047 % ; 0.1014234 % ; 0.01355047 ; 0.001014234
53248.34 eV ; 4524.347 eV ; 1.439561 % ; 0.1215715 % ; 0.01439561 ; 0.001215715
62205.21 eV ; 0.6999999 eV ; 0.06246512 % ; 0.004616255 % ; 0.0006246512 ; 0.00004616255
63528.02 eV ; 2844.047 eV ; 0.9053551 % ; 0.04066664 % ; 0.009053551 ; 0.0004066664
73869.83 eV ; 3221.399 eV ; 0.1397401 % ; 0.006153125 % ; 0.001397401 ; 0.00006153125
85020.10 eV ; 20.00400 eV ; 11.4777 % ; 0.8382269 % ; 0.1147770 ; 0.008382269
95604.00 eV ; 20.02024 eV ; 2.6676 % ; 0.1967097 % ; 0.02667600 ; 0.001967097
115620.1 eV ; 200.0004 eV ; 61.10629 % ; 4.239162 % ; 0.6110629 ; 0.04239162
115910.1 eV ; 20.00400 eV ; 2.747815 % ; 0.2055577 % ; 0.02747815 ; 0.002055577
126204.0 eV ; 200.0020 eV ; 19.33869 % ; 1.402741 % ; 0.1933869 ; 0.01402741
126494.0 eV ; 20.02024 eV ; 0.7079904 % ; 0.0532001 % ; 0.007079904 ; 0.0005320010
126720.1 eV ; 0.3999999 eV ; 0.01083139 % ; 8.009817E-4 % ; 0.0001083139 ; 0.000008009817
132955.2 eV ; 250.0010 eV ; 0.02373871 % ; 0.001775264 % ; 0.0002373871 ; 0.00001775264
137304.0 eV ; 0.8999999 eV ; 0.002517067 % ; 1.876415E-4 % ; 0.00002517067 ; 0.000001876415
161105.2 eV ; 300.0008 eV ; 0.006010629 % ; 4.409564E-4 % ; 0.00006010629 ; 0.000004409564
197470.1 eV ; 250.0003 eV ; 0.004348772 % ; 3.175103E-4 % ; 0.00004348772 ; 0.000003175103
208054.0 eV ; 250.0016 eV ; 0.001017373 % ; 7.449276E-5 % ; 0.00001017373 ; 7.449276E-7
225620.1 eV ; 300.0003 eV ; 0.003795012 % ; 2.794704E-4 % ; 0.00003795012 ; 0.000002794704
236204.0 eV ; 300.0013 eV ; 9.599148E-4 % ; 7.096629E-5 % ; 0.000009599148 ; 7.096629E-7
