E ; deltaE ; I ; deltaI ; I ENDF ; deltaI ENDF
211.8504 eV ; 8.728204 eV ; 76.09541 % ; 2.622324 % ; 0.7609541 ; 0.02622324
694.0832 eV ; 35.92770 eV ; 34.89594 % ; 1.441009 % ; 0.3489594 ; 0.01441009
1035.445 eV ; 36.89326 eV ; 168.824 % ; 6.243243 % ; 1.688240 ; 0.06243243
3403.198 eV ; 0.5830952 eV ; 17.4573 % ; 1.02605 % ; 0.1745730 ; 0.01026050
5272.216 eV ; 215.5110 eV ; 61.18793 % ; 2.487606 % ; 0.6118793 ; 0.02487606
5454.498 eV ; 12.01041 eV ; 0.02221376 % ; 0.002421079 % ; 0.0002221376 ; 0.00002421079
6545.206 eV ; 180.7360 eV ; 22.0614 % ; 0.619162 % ; 0.2206140 ; 0.006191620
7858.988 eV ; 249.7648 eV ; 2.00338 % ; 0.06484547 % ; 0.02003380 ; 0.0006484547
9104.199 eV ; 50.00250 eV ; 0.0955332 % ; 0.01910664 % ; 0.0009553320 ; 0.0001910664
16103.20 eV ; 50.00160 eV ; 0.0215628 % ; 0.00431256 % ; 0.0002156280 ; 0.00004312560
16605.55 eV ; 0.5008992 eV ; 41.44565 % ; 2.818447 % ; 0.4144565 ; 0.02818447
17733.70 eV ; 50.00250 eV ; 0.004669559 % ; 9.339119E-4 % ; 0.00004669559 ; 0.000009339119
18111.50 eV ; 50.00000 eV ; 5.140799E-4 % ; 1.02816E-4 % ; 0.000005140799 ; 0.000001028160
19655.20 eV ; 12.01041 eV ; 0.4454951 % ; 0.03794383 % ; 0.004454951 ; 0.0003794383
20778.19 eV ; 0.5035871 eV ; 5.671199 % ; 0.3111391 % ; 0.05671199 ; 0.003111391
23604.55 eV ; 0.4011234 eV ; 9.238445 % ; 0.6245152 % ; 0.09238445 ; 0.006245152
23633.50 eV ; 5.024938 eV ; 0.1808001 % ; 0.01120967 % ; 0.001808001 ; 0.0001120967
25235.05 eV ; 0.5008992 eV ; 2.032921 % ; 0.1373208 % ; 0.02032921 ; 0.001373208
25612.85 eV ; 0.02999999 eV ; 0.2396439 % ; 0.01617128 % ; 0.002396439 ; 0.0001617128
26654.20 eV ; 12.00666 eV ; 0.09786288 % ; 0.008365467 % ; 0.0009786288 ; 0.00008365467
27481.49 eV ; 50.00250 eV ; 0.008078399 % ; 9.75499E-4 % ; 0.00008078399 ; 0.000009754990
28284.70 eV ; 12.01041 eV ; 0.0226034 % ; 0.001907477 % ; 0.0002260340 ; 0.00001907477
28662.50 eV ; 12.00000 eV ; 0.003260878 % ; 2.70901E-4 % ; 0.00003260878 ; 0.000002709010
30941.50 eV ; 100.0013 eV ; 6.891936E-4 % ; 2.545951E-4 % ; 0.000006891936 ; 0.000002545951
34152.50 eV ; 4.031129 eV ; 0.06609395 % ; 0.003675833 % ; 0.0006609395 ; 0.00003675833
34764.20 eV ; 30.00417 eV ; 0.3574692 % ; 0.04228824 % ; 0.003574692 ; 0.0004228824
37198.70 eV ; 3024.053 eV ; 0.730878 % ; 0.05903927 % ; 0.007308780 ; 0.0005903927
39869.53 eV ; 0.5024938 eV ; 42.41466 % ; 2.412303 % ; 0.4241466 ; 0.02412303
41763.20 eV ; 30.00267 eV ; 0.0818448 % ; 0.009717298 % ; 0.0008184480 ; 0.00009717298
43393.70 eV ; 30.00417 eV ; 0.0186558 % ; 0.002226475 % ; 0.0001865580 ; 0.00002226475
43771.50 eV ; 30.00000 eV ; 0.002461362 % ; 2.90362E-4 % ; 0.00002461362 ; 0.000002903620
44036.46 eV ; 1981.750 eV ; 0.4136083 % ; 0.01864868 % ; 0.004136083 ; 0.0001864868
46711.50 eV ; 100.0013 eV ; 1.13118E-4 % ; 5.685359E-5 % ; 0.000001131180 ; 5.685359E-7
46868.53 eV ; 0.4031128 eV ; 9.3687 % ; 0.5289952 % ; 0.09368700 ; 0.005289952
48145.90 eV ; 0.5830952 eV ; 3.623549 % ; 0.2722707 % ; 0.03623549 ; 0.002722707
48499.03 eV ; 0.5024938 eV ; 2.161614 % ; 0.1218549 % ; 0.02161614 ; 0.001218549
48876.83 eV ; 0.04999999 eV ; 0.3134256 % ; 0.01784726 % ; 0.003134256 ; 0.0001784726
49276.50 eV ; 4.031129 eV ; 0.02403324 % ; 0.001579237 % ; 0.0002403324 ; 0.00001579237
50197.20 eV ; 12.01041 eV ; 0.003851275 % ; 4.199619E-4 % ; 0.00003851275 ; 0.000004199619
50893.27 eV ; 2248.348 eV ; 0.05683336 % ; 0.002529237 % ; 0.0005683336 ; 0.00002529237
52324.50 eV ; 3.041381 eV ; 0.1081781 % ; 0.0146541 % ; 0.001081781 ; 0.0001465410
55144.90 eV ; 0.5000000 eV ; 0.8193149 % ; 0.06202032 % ; 0.008193149 ; 0.0006202032
56775.40 eV ; 0.5830952 eV ; 0.1874249 % ; 0.01388314 % ; 0.001874249 ; 0.0001388314
57153.20 eV ; 0.3000000 eV ; 0.02588249 % ; 0.001817588 % ; 0.0002588249 ; 0.00001817588
57196.20 eV ; 12.00666 eV ; 8.471916E-4 % ; 9.253583E-5 % ; 0.000008471916 ; 9.253583E-7
58811.50 eV ; 150.0008 eV ; 2.109359E-5 % ; 9.649466E-6 % ; 2.109359E-7 ; 9.649466E-8
58826.70 eV ; 12.01041 eV ; 1.907848E-4 % ; 2.079297E-5 % ; 0.000001907848 ; 2.079297E-7
59204.50 eV ; 12.00000 eV ; 2.501549E-5 % ; 2.727115E-6 % ; 2.501549E-7 ; 2.727115E-8
65520.89 eV ; 0.5035871 eV ; 0.9271799 % ; 0.05084678 % ; 0.009271799 ; 0.0005084678
68376.20 eV ; 5.024938 eV ; 0.1438047 % ; 0.008919626 % ; 0.001438047 ; 0.00008919626
72224.20 eV ; 50.00250 eV ; 0.00139128 % ; 1.890609E-4 % ; 0.00001391280 ; 0.000001890609
72519.89 eV ; 0.4044749 eV ; 0.204 % ; 0.01122541 % ; 0.002040000 ; 0.0001122541
74150.39 eV ; 0.5035871 eV ; 0.04600199 % ; 0.00253797 % ; 0.0004600199 ; 0.00002537970
74528.19 eV ; 0.05999999 eV ; 0.006150599 % ; 3.383215E-4 % ; 0.00006150599 ; 0.000003383215
75375.20 eV ; 5.015975 eV ; 0.03413124 % ; 0.00210933 % ; 0.0003413124 ; 0.00002109330
75684.20 eV ; 100.0013 eV ; 0.001099866 % ; 4.063303E-4 % ; 0.00001099866 ; 0.000004063303
77005.70 eV ; 5.024938 eV ; 0.007667595 % ; 4.735314E-4 % ; 0.00007667595 ; 0.000004735314
77383.50 eV ; 5.000000 eV ; 9.362223E-4 % ; 5.775606E-5 % ; 0.000009362223 ; 5.775606E-7
78011.51 eV ; 100.0013 eV ; 1.26174E-5 % ; 1.417123E-6 % ; 1.261740E-7 ; 1.417123E-8
78895.20 eV ; 4.031129 eV ; 0.01046183 % ; 5.822279E-4 % ; 0.0001046183 ; 0.000005822279
79223.20 eV ; 50.00160 eV ; 3.11916E-4 % ; 4.353375E-5 % ; 0.000003119160 ; 4.353375E-7
80853.70 eV ; 50.00250 eV ; 7.1808E-5 % ; 9.905942E-6 % ; 7.180800E-7 ; 9.905942E-8
81231.50 eV ; 50.00000 eV ; 1.0098E-5 % ; 1.382658E-6 % ; 1.009800E-7 ; 1.382658E-8
82683.20 eV ; 100.0008 eV ; 2.643024E-4 % ; 9.76497E-5 % ; 0.000002643024 ; 9.764970E-7
84313.70 eV ; 100.0013 eV ; 5.921711E-5 % ; 2.187775E-5 % ; 5.921711E-7 ; 2.187775E-7
84511.51 eV ; 100.0013 eV ; 3.723408E-4 % ; 6.037811E-5 % ; 0.000003723408 ; 6.037811E-7
84691.51 eV ; 100.0000 eV ; 7.067579E-6 % ; 2.611821E-6 % ; 7.067579E-8 ; 2.611821E-8
85894.20 eV ; 4.019950 eV ; 0.002293204 % ; 1.27838E-4 % ; 0.00002293204 ; 0.000001278380
