E ; deltaE ; I ; deltaI ; I ENDF ; deltaI ENDF
417.7680 eV ; 20.22400 eV ; 61.13895 % ; 2.262917 % ; 0.6113895 ; 0.02262917
786.9832 eV ; 37.02583 eV ; 21.35086 % ; 1.269255 % ; 0.2135086 ; 0.01269255
1836.646 eV ; 57.35703 eV ; 167.379 % ; 4.418779 % ; 1.673790 ; 0.04418779
7660.918 eV ; 386.2921 eV ; 44.06257 % ; 2.173907 % ; 0.4406257 ; 0.02173907
9864.979 eV ; 313.6758 eV ; 19.19896 % ; 0.6117464 % ; 0.1919896 ; 0.006117464
12098.14 eV ; 407.7092 eV ; 2.018714 % ; 0.06861928 % ; 0.02018714 ; 0.0006861928
25539.70 eV ; 70.00715 eV ; 0.03128 % ; 7.083112E-4 % ; 0.0003128000 ; 0.000007083112
29799.70 eV ; 30.01666 eV ; 0.63503 % ; 0.01656606 % ; 0.006350300 ; 0.0001656606
31389.70 eV ; 30.01666 eV ; 0.55986 % ; 0.0153463 % ; 0.005598600 ; 0.0001534630
52237.70 eV ; 40.00800 eV ; 6.95115 % ; 0.1434121 % ; 0.06951150 ; 0.001434121
55796.14 eV ; 3880.379 eV ; 2.289898 % ; 0.1863994 % ; 0.02289898 ; 0.001863994
57997.70 eV ; 200.0016 eV ; 0.10472 % ; 0.01878582 % ; 0.001047200 ; 0.0001878582
66975.51 eV ; 2671.907 eV ; 1.26748 % ; 0.05920135 % ; 0.01267480 ; 0.0005920135
78174.91 eV ; 3077.757 eV ; 0.1693015 % ; 0.007875914 % ; 0.001693015 ; 0.00007875914
82777.70 eV ; 70.00458 eV ; 0.23746 % ; 0.008504918 % ; 0.002374600 ; 0.00008504918
84327.69 eV ; 70.00458 eV ; 14.85 % ; 2.97 % ; 0.1485000 ; 0.02970000
120500.7 eV ; 40.01250 eV ; 1.187595 % ; 0.02326585 % ; 0.01187595 ; 0.0002326585
126260.7 eV ; 200.0025 eV ; 0.2128 % ; 0.03816962 % ; 0.002128000 ; 0.0003816962
131778.4 eV ; 40.01512 eV ; 0.27702 % ; 0.005278112 % ; 0.002770200 ; 0.00005278112
134539.7 eV ; 40.01250 eV ; 0.0695115 % ; 0.001434121 % ; 0.0006951150 ; 0.00001434121
135282.6 eV ; 40.00000 eV ; 0.0131328 % ; 2.383473E-4 % ; 0.0001313280 ; 0.000002383473
137538.4 eV ; 200.0030 eV ; 0.05544 % ; 0.009941139 % ; 0.0005544000 ; 0.00009941139
140299.7 eV ; 200.0025 eV ; 0.013748 % ; 0.002466578 % ; 0.0001374800 ; 0.00002466578
141042.6 eV ; 200.0000 eV ; 0.0022988 % ; 4.123414E-4 % ; 0.00002298800 ; 0.000004123414
151040.7 eV ; 70.00715 eV ; 0.03999 % ; 0.001451231 % ; 0.0003999000 ; 0.00001451231
152590.7 eV ; 70.00715 eV ; 2.52 % ; 0.504 % ; 0.02520000 ; 0.005040000
162318.4 eV ; 70.00864 eV ; 0.009331 % ; 3.364457E-4 % ; 0.00009331000 ; 0.000003364457
163868.4 eV ; 70.00864 eV ; 0.588 % ; 0.1176 % ; 0.005880000 ; 0.001176000
165079.7 eV ; 70.00715 eV ; 0.00233895 % ; 8.397891E-5 % ; 0.00002338950 ; 8.397891E-7
165822.6 eV ; 70.00000 eV ; 4.433E-4 % ; 1.581153E-5 % ; 0.000004433000 ; 1.581153E-7
166629.7 eV ; 70.00715 eV ; 0.1475 % ; 0.0295 % ; 0.001475000 ; 0.0002950000
167372.6 eV ; 70.00000 eV ; 0.0279 % ; 0.00558 % ; 0.0002790000 ; 0.00005580000
