E ; deltaE ; I ; deltaI ; I ENDF ; deltaI ENDF
56.99389 eV ; 4.790599 eV ; 236.2101 % ; 22.06387 % ; 2.362101 ; 0.2206387
90.79510 eV ; 6.362048 eV ; 36.50163 % ; 1.880698 % ; 0.3650163 ; 0.01880698
118.4250 eV ; 20.38099 eV ; 0.03144623 % ; 0.00572127 % ; 0.0003144623 ; 0.00005721270
931.9503 eV ; 42.23970 eV ; 179.1663 % ; 6.898742 % ; 1.791663 ; 0.06898742
983.3268 eV ; 72.99664 eV ; 1.5433 % ; 0.1004049 % ; 0.01543300 ; 0.001004049
1084.297 eV ; 107.2764 eV ; 0.005531165 % ; 4.99216E-4 % ; 0.00005531165 ; 0.000004992160
7491.863 eV ; 582.8771 eV ; 48.6298 % ; 3.063066 % ; 0.4862980 ; 0.03063066
8457.962 eV ; 466.3269 eV ; 12.59019 % ; 0.5588538 % ; 0.1259019 ; 0.005588538
9428.186 eV ; 614.5367 eV ; 0.9022378 % ; 0.04718723 % ; 0.009022378 ; 0.0004718723
81606.40 eV ; 5.035871 eV ; 0.22703 % ; 0.02196496 % ; 0.002270300 ; 0.0002196496
83651.40 eV ; 5.035871 eV ; 29.02988 % ; 0.4274994 % ; 0.2902988 ; 0.004274994
90071.40 eV ; 5.080354 eV ; 0.023947 % ; 0.002506992 % ; 0.0002394700 ; 0.00002506992
91265.00 eV ; 5.000000 eV ; 1.3062E-4 % ; 1.255293E-5 % ; 0.000001306200 ; 1.255293E-7
91265.00 eV ; 5.000000 eV ; 1.3062E-4 % ; 1.255293E-5 % ; 0.000001306200 ; 1.255293E-7
91265.00 eV ; 5.000000 eV ; 0.003421 % ; 3.757848E-4 % ; 0.00003421000 ; 0.000003757848
92116.39 eV ; 5.080354 eV ; 3.574401 % ; 0.0505286 % ; 0.03574401 ; 0.0005052860
93310.00 eV ; 5.000000 eV ; 0.01505828 % ; 2.331508E-4 % ; 0.0001505828 ; 0.000002331508
93310.00 eV ; 5.000000 eV ; 0.01505828 % ; 2.331508E-4 % ; 0.0001505828 ; 0.000002331508
93310.00 eV ; 5.000000 eV ; 0.50453 % ; 0.007384206 % ; 0.005045300 ; 0.00007384206
174917.4 eV ; 10.01798 eV ; 0.361829 % ; 0.04924329 % ; 0.003618290 ; 0.0004924329
183382.4 eV ; 10.04042 eV ; 0.038538 % ; 0.006423026 % ; 0.0003853800 ; 0.00006423026
184576.0 eV ; 10.00000 eV ; 2.05536E-4 % ; 2.783317E-5 % ; 0.000002055360 ; 2.783317E-7
184576.0 eV ; 10.00000 eV ; 2.05536E-4 % ; 2.783317E-5 % ; 0.000002055360 ; 2.783317E-7
184576.0 eV ; 10.00000 eV ; 0.0053525 % ; 8.564036E-4 % ; 0.00005352500 ; 0.000008564036
199291.4 eV ; 10.01798 eV ; 0.0197784 % ; 3.297517E-4 % ; 0.0001977840 ; 0.000003297517
207756.4 eV ; 10.04042 eV ; 0.0020295 % ; 3.3027E-5 % ; 0.00002029500 ; 3.302700E-7
208950.0 eV ; 10.00000 eV ; 1.15374E-5 % ; 4.69E-8 % ; 1.153740E-7 ; 4.69000E-10
208950.0 eV ; 10.00000 eV ; 1.15374E-5 % ; 2.023113E-7 % ; 1.153740E-7 ; 2.023113E-9
208950.0 eV ; 10.00000 eV ; 2.91018E-4 % ; 4.821386E-6 % ; 0.000002910180 ; 4.821386E-8
290558.4 eV ; 10.01798 eV ; 0.0579072 % ; 0.001082216 % ; 0.0005790720 ; 0.00001082216
299023.4 eV ; 10.04042 eV ; 0.0059072 % ; 1.085485E-4 % ; 0.00005907200 ; 0.000001085485
300217.0 eV ; 10.00000 eV ; 3.36128E-5 % ; 5.5494E-7 % ; 3.361280E-7 ; 5.549400E-9
300217.0 eV ; 10.00000 eV ; 3.36128E-5 % ; 5.5494E-7 % ; 3.361280E-7 ; 5.549400E-9
300217.0 eV ; 10.00000 eV ; 8.46976E-4 % ; 1.46464E-5 % ; 0.000008469760 ; 1.464640E-7
383868.4 eV ; 10.01798 eV ; 0.00787056 % ; 4.296403E-4 % ; 0.00007870560 ; 0.000004296403
392333.4 eV ; 10.04042 eV ; 7.96176E-4 % ; 4.342701E-5 % ; 0.000007961760 ; 4.342701E-7
393527.0 eV ; 10.00000 eV ; 4.57368E-6 % ; 2.407632E-7 % ; 4.573680E-8 ; 2.407632E-9
393527.0 eV ; 10.00000 eV ; 4.57368E-6 % ; 2.490415E-7 % ; 4.573680E-8 ; 2.490415E-9
393527.0 eV ; 10.00000 eV ; 1.14E-4 % ; 6.271122E-6 % ; 0.000001140000 ; 6.271122E-8
484507.4 eV ; 15.01200 eV ; 7.08624E-5 % ; 1.858969E-6 % ; 7.086240E-7 ; 1.858969E-8
492972.4 eV ; 15.02698 eV ; 7.14096E-6 % ; 1.86772E-7 % ; 7.140960E-8 ; 1.867720E-9
494166.0 eV ; 15.00000 eV ; 4.11084E-8 % ; 1.08435E-9 % ; 4.11084E-10 ; 1.08435E-11
494166.0 eV ; 15.00000 eV ; 1.023948E-6 % ; 2.66218E-8 % ; 1.023948E-8 ; 2.66218E-10
784722.4 eV ; 15.01200 eV ; 2.5488E-5 % ; 1.036656E-6 % ; 2.548800E-7 ; 1.036656E-8
793187.4 eV ; 15.02698 eV ; 2.5704E-6 % ; 1.042565E-7 % ; 2.570400E-8 ; 1.042565E-9
794381.0 eV ; 15.00000 eV ; 1.458E-8 % ; 5.84099E-10 % ; 1.45800E-10 ; 5.84099E-12
794381.0 eV ; 15.00000 eV ; 3.6774E-7 % ; 1.49969E-8 % ; 3.677400E-9 ; 1.49969E-10
878029.4 eV ; 15.01200 eV ; 4.7064E-5 % ; 1.303327E-6 % ; 4.706400E-7 ; 1.303327E-8
886494.4 eV ; 15.02698 eV ; 4.7212E-6 % ; 1.305524E-7 % ; 4.721200E-8 ; 1.305524E-9
887688.0 eV ; 15.00000 eV ; 2.7084E-8 % ; 8.07382E-10 % ; 2.70840E-10 ; 8.07382E-12
887688.0 eV ; 15.00000 eV ; 2.7084E-8 % ; 8.07382E-10 % ; 2.70840E-10 ; 8.07382E-12
887688.0 eV ; 15.00000 eV ; 6.7636E-7 % ; 1.81149E-8 % ; 6.763600E-9 ; 1.81149E-10
