E ; deltaE ; I ; deltaI ; I ENDF ; deltaI ENDF
120.7579 eV ; 5.497964 eV ; 137.4245 % ; 4.511763 % ; 1.374245 ; 0.04511763
307.8315 eV ; 14.05264 eV ; 27.65541 % ; 1.042552 % ; 0.2765541 ; 0.01042552
455.5194 eV ; 23.71577 eV ; 322.6779 % ; 12.68333 % ; 3.226779 ; 0.1268333
3097.647 eV ; 167.5229 eV ; 122.3583 % ; 4.322092 % ; 1.223583 ; 0.04322092
3678.699 eV ; 0.5830953 eV ; 78.0892 % ; 1.897123 % ; 0.7808920 ; 0.01897123
3690.684 eV ; 142.3285 eV ; 35.33065 % ; 0.902756 % ; 0.3533065 ; 0.009027560
4307.023 eV ; 192.1970 eV ; 2.550714 % ; 0.07596643 % ; 0.02550714 ; 0.0007596643
22682.97 eV ; 1680.757 eV ; 12.44108 % ; 0.6590869 % ; 0.1244108 ; 0.006590869
26514.52 eV ; 1153.338 eV ; 5.571892 % ; 0.1722387 % ; 0.05571892 ; 0.001722387
30347.29 eV ; 1339.687 eV ; 0.59862 % ; 0.01873977 % ; 0.005986200 ; 0.0001873977
30553.30 eV ; 0.5830953 eV ; 10.66128 % ; 0.2663399 % ; 0.1066128 ; 0.002663399
34486.50 eV ; 0.5830953 eV ; 2.13092 % ; 0.05324773 % ; 0.02130920 ; 0.0005324773
35324.20 eV ; 0.5830953 eV ; 0.42084 % ; 0.01056875 % ; 0.004208400 ; 0.0001056875
35487.10 eV ; 0.5000000 eV ; 0.0450232 % ; 0.001101794 % ; 0.0004502320 ; 0.00001101794
