E ; deltaE ; I ; deltaI ; I ENDF ; deltaI ENDF
123.8051 eV ; 5.927260 eV ; 82.78161 % ; 3.972957 % ; 0.8278161 ; 0.03972957
293.0915 eV ; 15.29768 eV ; 18.15312 % ; 0.8312158 % ; 0.1815312 ; 0.008312158
401.2886 eV ; 22.74062 eV ; 190.7528 % ; 10.74088 % ; 1.907528 ; 0.1074088
2869.113 eV ; 139.3822 eV ; 73.92193 % ; 3.55091 % ; 0.7392193 ; 0.03550910
3386.230 eV ; 117.3905 eV ; 19.51793 % ; 0.681732 % ; 0.1951793 ; 0.006817320
3924.003 eV ; 159.2554 eV ; 1.326321 % ; 0.05458873 % ; 0.01326321 ; 0.0005458873
19405.30 eV ; 8.005624 eV ; 67.49175 % ; 1.331969 % ; 0.6749175 ; 0.01331969
20957.80 eV ; 1599.450 eV ; 7.542663 % ; 0.5718907 % ; 0.07542663 ; 0.005718907
22986.20 eV ; 8.005624 eV ; 13.25082 % ; 0.2642192 % ; 0.1325082 ; 0.002642192
23733.50 eV ; 8.009995 eV ; 2.485149 % ; 0.04893126 % ; 0.02485149 ; 0.0004893126
23869.00 eV ; 8.000000 eV ; 0.2130363 % ; 0.004211836 % ; 0.002130363 ; 0.00004211836
24429.20 eV ; 1087.541 eV ; 3.294943 % ; 0.1466233 % ; 0.03294943 ; 0.001466233
27904.30 eV ; 1260.016 eV ; 0.3465554 % ; 0.01570737 % ; 0.003465554 ; 0.0001570737
