E ; deltaE ; I ; deltaI ; I ENDF ; deltaI ENDF
106.3234 eV ; 6.339413 eV ; 2.064191 % ; 0.1524722 % ; 0.02064191 ; 0.001524722
106.8323 eV ; 5.587231 eV ; 2.478923E-4 % ; 1.671764E-5 % ; 0.000002478923 ; 1.671764E-7
112.7588 eV ; 5.910744 eV ; 18.22304 % ; 0.9402077 % ; 0.1822304 ; 0.009402077
114.6864 eV ; 5.786803 eV ; 0.001204277 % ; 5.93186E-5 % ; 0.00001204277 ; 5.931860E-7
206.0395 eV ; 8.575674 eV ; 34.28689 % ; 1.432421 % ; 0.3428689 ; 0.01432421
231.9113 eV ; 9.583473 eV ; 0.003024254 % ; 1.244498E-4 % ; 0.00003024254 ; 0.000001244498
1628.600 eV ; 1.077033 eV ; 87.51881 % ; 17.50376 % ; 0.8751881 ; 0.1750376
2055.408 eV ; 107.5177 eV ; 9.000971 % ; 0.4603456 % ; 0.09000971 ; 0.004603456
2104.600 eV ; 2.039608 eV ; 11.53427 % ; 2.306854 % ; 0.1153427 ; 0.02306854
2159.425 eV ; 107.9077 eV ; 0.001200975 % ; 5.867064E-5 % ; 0.00001200975 ; 5.867064E-7
2333.311 eV ; 85.99904 eV ; 1.413441 % ; 0.05255386 % ; 0.01413441 ; 0.0005255386
2468.612 eV ; 86.56236 eV ; 2.045941E-4 % ; 7.215753E-6 % ; 0.000002045941 ; 7.215753E-8
2641.862 eV ; 128.9881 eV ; 0.06453374 % ; 0.00318638 % ; 0.0006453374 ; 0.00003186380
2804.371 eV ; 125.1661 eV ; 9.802926E-6 % ; 4.420003E-7 % ; 9.802926E-8 ; 4.420003E-9
15423.65 eV ; 1220.638 eV ; 1.475878 % ; 0.1160751 % ; 0.01475878 ; 0.001160751
16157.06 eV ; 1208.978 eV ; 1.76437E-4 % ; 1.311735E-5 % ; 0.000001764370 ; 1.311735E-7
17824.37 eV ; 863.8270 eV ; 0.552684 % ; 0.02675632 % ; 0.005526840 ; 0.0002675632
18698.15 eV ; 856.5173 eV ; 6.788246E-5 % ; 3.10588E-6 % ; 6.788246E-7 ; 3.105880E-8
20227.69 eV ; 1026.556 eV ; 0.04992686 % ; 0.002539558 % ; 0.0004992686 ; 0.00002539558
21241.78 eV ; 1019.022 eV ; 6.294615E-6 % ; 3.02643E-7 % ; 6.294615E-8 ; 3.026430E-9
67482.80 eV ; 300.0002 eV ; 0.001216548 % ; 2.433095E-4 % ; 0.00001216548 ; 0.000002433095
86376.00 eV ; 300.0002 eV ; 2.742951E-4 % ; 5.485902E-5 % ; 0.000002742951 ; 5.485902E-7
89015.00 eV ; 300.0002 eV ; 5.147972E-5 % ; 1.029594E-5 % ; 5.147972E-7 ; 1.029594E-7
89525.10 eV ; 300.0002 eV ; 7.714159E-6 % ; 1.542832E-6 % ; 7.714159E-8 ; 1.542832E-8
119467.0 eV ; 1.220656 eV ; 8.796434 % ; 0.4544736 % ; 0.08796434 ; 0.004544736
121586.0 eV ; 30.00817 eV ; 0.649231 % ; 0.05709269 % ; 0.006492310 ; 0.0005709269
137468.5 eV ; 1.077033 eV ; 1.06707 % ; 0.0611918 % ; 0.01067070 ; 0.0006119180
139587.5 eV ; 30.00267 eV ; 0.2019335 % ; 0.01775818 % ; 0.002019335 ; 0.0001775818
139967.0 eV ; 1.414214 eV ; 0.1939238 % ; 0.0111642 % ; 0.001939238 ; 0.0001116420
140443.0 eV ; 2.236068 eV ; 0.03068607 % ; 0.00173091 % ; 0.0003068607 ; 0.00001730910
142086.0 eV ; 30.01666 eV ; 0.03955904 % ; 0.003478859 % ; 0.0003955904 ; 0.00003478859
142562.0 eV ; 30.06659 eV ; 0.005991704 % ; 5.269177E-4 % ; 0.00005991704 ; 0.000005269177
210682.8 eV ; 200.0002 eV ; 3.485696E-7 % ; 1.416633E-7 % ; 3.485696E-9 ; 1.416633E-9
229576.0 eV ; 200.0002 eV ; 4.6839E-8 % ; 2.22101E-8 % ; 4.68390E-10 ; 2.22101E-10
232215.0 eV ; 200.0002 eV ; 8.63765E-9 % ; 4.11641E-9 % ; 8.63765E-11 ; 4.11641E-11
232725.1 eV ; 200.0002 eV ; 1.36415E-9 % ; 6.33115E-10 % ; 1.36415E-11 ; 6.33115E-12
300282.8 eV ; 200.0002 eV ; 1.460886E-6 % ; 3.926359E-7 % ; 1.460886E-8 ; 3.926359E-9
319176.0 eV ; 200.0002 eV ; 1.842829E-7 % ; 5.80556E-8 % ; 1.842829E-9 ; 5.80556E-10
321815.0 eV ; 200.0002 eV ; 3.38999E-8 % ; 1.07323E-8 % ; 3.38999E-10 ; 1.07323E-10
322325.1 eV ; 200.0002 eV ; 5.40537E-9 % ; 1.66052E-9 % ; 5.40537E-11 ; 1.66052E-11
